jobNumber,State,Internal Deadline,Billed,Potential,Estimated
2015T1003,PROGRESS,01/12/2014,,0,100
2015T1004,PROGRESS,01/12/2014,,0,11
2015T1005,PROGRESS,15/12/2014,,0,0
2015T1006,PROGRESS,14/01/2015,,0,3
2015T1007,PROGRESS,20/01/2015,,0,2
2015T1008,PROGRESS,23/01/2015,,230000,548
2015T1009,PROGRESS,28/01/2015,,0,12
2015T1010,PROGRESS,28/01/2015,,0,12
2015T1011,PROGRESS,30/01/2015,,0,0
2015T1012,PROGRESS,24/02/2015,,0,20
2015T1013,PROGRESS,14/10/2014,,0,700
2015T1014,PROGRESS,26/02/2015,,50,100
2015T1015,PROGRESS,27/02/2015,,0,104
2015T1016,PROGRESS,25/03/2015,,140,16000
2015T1017,PROGRESS,26/03/2015,,0,0
2015T1018,PROGRESS,02/04/2015,,0,0
2015T1019,PROGRESS,26/03/2015,,0,0
2015T1021,PROGRESS,01/05/2015,,50,75
2015T1022,PROGRESS,14/05/2015,,35,35
2015T1023,PROGRESS,18/05/2015,,0,0
2015T1024,PROGRESS,18/05/2015,,0,0
2015T1025,PROGRESS,27/05/2015,,0,1000
2015T1027,PROGRESS,27/05/2015,,0,11
2015T1028,PROGRESS,29/05/2015,,0,0
2015T1029,PROGRESS,03/06/2015,,0,0
2015T1030,PROGRESS,10/06/2015,,90,45
2015T1031,PROGRESS,23/06/2015,,0,0
2015T1032,PROGRESS,26/06/2015,,0,0
2015T1033,PROGRESS,03/07/2015,,0,1231
2015T1034,PROGRESS,03/07/2015,,0,213213
2015T1035,PROGRESS,09/07/2015,,0,0
2015T1037,PROGRESS,30/07/2015,,0,0
2015T1038,PROGRESS,26/08/2015,,0,100
2015T1039,PROGRESS,26/08/2015,,0,0
2015T1040,PROGRESS,31/08/2015,,0,0
2015T1041,PROGRESS,10/09/2015,,0,0
2015T1042,PROGRESS,11/09/2015,,0,24
2015T1043,PROGRESS,17/09/2015,,0,0
2015T1044,PROGRESS,06/10/2015,,0,0
2015T1045,PROGRESS,29/10/2015,,0,0
2015T1046,PROGRESS,08/11/2015,,0,2
2015T1047,PROGRESS,01/12/2015,,0,0
2015T1048,PROGRESS,16/12/2015,,0,0
2015T1049,PROGRESS,02/02/2016,,0,140000
2015T1050,PROGRESS,03/02/2016,,1980,2739
2015T1051,PROGRESS,03/02/2016,,1980,1980
2015T1052,PROGRESS,08/02/2016,,0,22
2015T1053,PROGRESS,17/02/2016,,0,0
2015T1054,PROGRESS,18/02/2016,,0,0
2015T1055,PROGRESS,22/02/2016,,0,467
2015T1056,PROGRESS,23/02/2016,,0,0
2015T1057,PROGRESS,24/02/2016,,0,0
2015T1058,PROGRESS,28/02/2016,,180,445
2015T1059,PROGRESS,06/03/2016,,0,4
2015T1060,PROGRESS,01/03/2016,,0,0
2015T1061,PROGRESS,07/03/2016,,0,22
2015T1062,PROGRESS,07/03/2016,,14,25
2015T1063,PROGRESS,06/03/2016,,0,8.11
2015T1064,PROGRESS,21/03/2016,,0,100
2015T1065,PROGRESS,03/04/2016,,0,984
2015T1066,PROGRESS,03/04/2016,,0,246
2015T1067,PROGRESS,30/03/2016,,0,0
2015T1068,PROGRESS,31/03/2016,,0,0
2015T1070,PROGRESS,24/04/2017,,3060,450
2015T1071,PROGRESS,03/05/2016,,0,0
2015T1072,PROGRESS,05/05/2016,,0,2000
2015T1073,PROGRESS,05/05/2016,,0,2000
2015T1074,PROGRESS,05/05/2016,,0,2000
2015T1076,PROGRESS,09/05/2016,,500,500
2015T1077,PROGRESS,17/05/2016,,0,0
2015T1078,PROGRESS,31/10/2016,,0,0
2015T1079,PROGRESS,04/07/2016,,0,0
2015T1080,PROGRESS,07/07/2016,,0,0
2015T1081,PROGRESS,19/07/2016,,0,0
2015T1082,PROGRESS,19/07/2016,,0,0
2015T1083,PROGRESS,26/07/2016,,0,0
2015T1084,PROGRESS,27/07/2016,,0,0
2015T1085,PROGRESS,29/08/2016,,0,0
2015T1086,PROGRESS,15/08/2016,,0,0
2015T1087,PROGRESS,22/08/2016,,0,0
2015T1088,PROGRESS,11/07/2016,,0,0
2015T1089,PROGRESS,12/07/2016,,0,0
2015T1090,PROGRESS,11/07/2015,,0,0
2015T1091,PROGRESS,10/07/2015,,0,0
2015T1092,PROGRESS,23/08/2016,,0,500
2015T1093,PROGRESS,23/08/2016,,0,1.49
2015T1094,PROGRESS,14/09/2016,,0,2200
2015T1095,PROGRESS,21/09/2016,,0,1111
2015T1096,PROGRESS,29/11/2016,,0,0
2015T1097,PROGRESS,10/10/2016,,0,0
2015T1098,PROGRESS,10/10/2016,,0,156
2015T1100,PROGRESS,18/10/2016,,0,0
2015T1102,PROGRESS,20/10/2016,,0,0
2015T1103,PROGRESS,30/10/2016,,0,0
2015T1104,PROGRESS,07/11/2016,,0,0
2015T1105,PROGRESS,07/11/2016,,0,0
2015T1106,PROGRESS,07/11/2016,,0,0
2015T1107,PROGRESS,07/11/2016,,0,0
2015T1108,PROGRESS,08/11/2016,,0,0
2015T1109,PROGRESS,07/12/2016,,0,0
2015T1110,PROGRESS,08/12/2016,,0,0
2015T1111,PROGRESS,19/12/2016,,10,10
2015T1112,PROGRESS,18/12/2016,,0,2153
2015T1113,PROGRESS,28/02/2017,,200,20000
2015T1114,PROGRESS,25/04/2017,,0,0
2015T1115,PROGRESS,10/01/2017,,0,158
2015T1116,PROGRESS,10/01/2017,,0,0
2015T1117,PROGRESS,19/01/2017,,80,44
2015T1118,PROGRESS,09/02/2017,,250,250
2015T1119,PROGRESS,30/03/2017,,4000,80000
2015T1120,PROGRESS,16/02/2017,,10,1000
2015T1121,PROGRESS,23/02/2017,,160,10
2015T1122,PROGRESS,13/03/2017,,75,10
2015T1123,PROGRESS,14/03/2017,,20,20
2015T1124,PROGRESS,27/03/2017,,10,10
2015T1125,PROGRESS,28/03/2017,,134.64,134.64
2015T1126,PROGRESS,26/04/2017,,1240.83,1020
2015T1127,PROGRESS,03/04/2017,,260,30
